date,region_id,avg_5min_demand,daily_peak,daily_min,total_daily_energy_mwh
2025-02-03,TAS1,1015.6780208333334,1143.5,890.86,73128.8175
2025-02-03,VIC1,6665.329722222222,9490.53,4559.14,479903.74
2025-02-04,NSW1,8602.966006944444,11956.06,6557.8,619413.5525
2025-02-04,QLD1,6922.006770833333,8648.51,5904.52,498384.48749999993
2025-02-04,SA1,1812.5425694444446,2186.25,1392.38,130503.065
2025-02-04,TAS1,1023.1075694444444,1129.23,887.61,73663.745
2025-02-04,VIC1,6156.985173611111,8126.73,4658.39,443302.9325
2025-02-05,NSW1,8756.599201388888,10760.41,7030.08,630475.1425
2025-02-05,QLD1,6970.871875,8166.95,5966.96,501902.77499999997
2025-02-05,SA1,1313.3014583333334,1923.77,468.54,94557.70499999999
2025-02-05,TAS1,995.3870138888889,1166.24,872.07,71667.86499999999
2025-02-05,VIC1,4396.935173611111,6267.99,2655.3,316579.3325
2025-02-06,NSW1,8198.318993055556,11276.23,6561.71,590278.9675
2025-02-06,QLD1,6646.1646527777775,8406.71,5619.34,478523.855
2025-02-06,SA1,1480.2481597222222,2270.01,779.45,106577.8675
2025-02-06,TAS1,986.1810069444444,1149.29,824.95,71005.0325
2025-02-06,VIC1,5767.647361111111,8772.68,4092.06,415270.61
2025-02-07,NSW1,8375.535833333333,11505.77,6714.86,603038.58
2025-02-07,QLD1,6476.3575,8048.11,5422.1,466297.74
2025-02-07,SA1,1209.5929166666667,1659.28,467.12,87090.69
2025-02-07,TAS1,1005.9177430555557,1125.34,905.53,72426.0775
2025-02-07,VIC1,5139.742326388889,5863.46,4421.95,370061.4475
2025-02-08,NSW1,7510.203576388889,9623.78,6377.63,540734.6575
2025-02-08,QLD1,6012.752777777779,8000.25,4606.46,432918.2
2025-02-08,SA1,1018.8230902777779,1523.96,107.83,73355.2625
2025-02-08,TAS1,1015.1750694444445,1129.61,921.56,73092.605
2025-02-08,VIC1,4062.291423611111,5091.91,3117.2,292484.9825
2025-02-09,NSW1,7213.2169791666665,9945.88,5679.25,519351.62249999994
2025-02-09,QLD1,6130.635902777778,8512.62,4567.72,441405.785
2025-02-09,SA1,1083.1452083333334,1712.38,240.71,77986.45499999999
2025-02-09,TAS1,971.7528125,1131.88,855.15,69966.2025
2025-02-09,VIC1,3692.1963541666664,5205.76,2262.16,265838.13749999995
2025-02-10,NSW1,7760.463541666667,9187.04,6524.04,558753.375
2025-02-10,QLD1,6845.38795138889,9092.68,5659.95,492867.9325
2025-02-10,SA1,1447.010625,2343.78,615.33,104184.76499999998
2025-02-10,TAS1,998.1973958333334,1155.43,873.41,71870.2125
2025-02-10,VIC1,4406.368819444445,5887.64,3442.67,317258.555
2025-02-11,NSW1,7437.535659722222,9093.48,6057.66,535502.5674999999
2025-02-11,QLD1,7076.864131944445,9358.19,5944.92,509534.2175
2025-02-11,SA1,1860.2813541666667,2990.92,1271.46,133940.2575
2025-02-11,TAS1,993.0403124999999,1132.6,871.28,71498.9025
2025-02-11,VIC1,5197.923576388888,7913.38,3663.94,374250.49749999994
2025-02-12,NSW1,7573.951423611112,9919.63,6198.86,545324.5025
2025-02-12,QLD1,7153.631006944445,9384.15,5967.59,515061.4325
2025-02-12,SA1,2215.265034722222,3326.91,1733.96,159499.0825
2025-02-12,TAS1,949.875,1112.03,831.64,68391.0
2025-02-12,VIC1,6039.7657291666665,9120.97,4543.58,434863.13249999995
2025-02-13,NSW1,8139.985868055555,10865.85,6512.04,586078.9824999999
2025-02-13,QLD1,7092.728194444445,9043.51,5934.47,510676.43
2025-02-13,SA1,1610.1463194444443,2185.9,796.51,115930.53499999999
2025-02-13,TAS1,953.8632638888889,1159.58,789.2,68678.155
2025-02-13,VIC1,6002.867951388889,8944.43,4434.52,432206.4925
2025-02-14,NSW1,8273.807465277778,9591.16,6977.33,595714.1375
2025-02-14,QLD1,7147.906319444444,9171.66,6125.96,514649.25499999995
2025-02-14,SA1,1251.6327777777778,1680.36,495.57,90117.56
2025-02-14,TAS1,945.1417361111111,1078.45,853.28,68050.20499999999
2025-02-14,VIC1,4446.926041666667,5489.32,3472.4,320178.675
2025-02-15,NSW1,6603.588958333334,8539.64,4433.04,475458.405
2025-02-15,QLD1,7028.563645833334,9240.29,5526.88,506056.5825
2025-02-15,SA1,1104.9941319444445,1551.19,317.64,79559.5775
2025-02-15,TAS1,910.2197569444444,1036.45,831.83,65535.822499999995
2025-02-15,VIC1,3710.8027430555553,4712.9,2585.68,267177.7975
2025-02-16,NSW1,5485.598229166667,7817.55,2532.25,394963.0725
2025-02-16,QLD1,6709.495208333334,9375.51,4891.15,483083.655
2025-02-16,SA1,936.0857986111112,1482.28,-110.47,67398.17749999999
2025-02-16,TAS1,942.8417708333334,1105.71,823.98,67884.6075
2025-02-16,VIC1,3656.6446874999997,4982.92,2310.01,263278.4175
2025-02-17,NSW1,6151.692430555555,8254.65,3860.04,442921.855
2025-02-17,QLD1,6769.290277777777,8574.54,5275.48,487388.89999999997
2025-02-17,SA1,1118.5556597222221,1711.5,212.25,80536.00749999999
2025-02-17,TAS1,992.7063194444445,1171.89,870.33,71474.855
2025-02-17,VIC1,3998.513715277778,5587.81,2172.32,287892.9875
2025-02-18,NSW1,6562.034930555556,8803.67,4375.32,472466.51499999996
2025-02-18,QLD1,6716.799861111112,8670.33,5604.97,483609.58999999997
2025-02-18,SA1,1172.8449305555555,1713.08,281.29,84444.83499999999
2025-02-18,TAS1,913.8906944444444,1101.37,751.14,65800.12999999999
2025-02-18,VIC1,4168.0334375,5464.15,2656.82,300098.4075
2025-02-19,NSW1,6889.713819444445,9089.72,5328.35,496059.395
